CYCLE;TIME;LOG
6963216500;863;CORE0=STSBi
6963255618;863;CORE2=FFT
6963281747;863;CORE3=STSBi
6963322689;863;CORE4=STSBi
6963356919;863;CORE5=STSBi
6963673443;863;CORE1=FMS
